Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
137,Thats a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009"
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930"
140,Uh thats an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899"
141,"Oh wow! So, youre more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899"
142,So much more.,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485"
143,"Well, well to sum up, were having fun, you look young.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456"
144,Okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171"
145,But thats not enough. So Soheres a key to my apartment.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
146,Really?!,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986"
147,Really.,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320"
148,You dont think this is too fast.,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316"
149,Get Out!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488"
150,"Ross, can I talk to you for a minute?",Charlie,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908"
151,"Yes, please!  So, what's going on?",Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754"
153,"Oh my God, wh-what happened?",Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885"
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561"
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108"
157,"Hey, you ok?",Ross,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950"
158,I guess.,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208"
159,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915"
160,I started to realize that I was having feelings for someone  else.,Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547"
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220"
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765"
163,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905"
164,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073"
165,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147"
166,Please!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699"
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985"
168,"I mean, we're scientists, right?",Ross,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788"
169,We're academics.,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798"
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780"
172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366"
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239"
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574"
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747"
176,Whats with all this sand?,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001"
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795"
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214"
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127"
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542"
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012"
182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517"
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020"
184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731"
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735"
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793"
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887"
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665"
189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803"
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474"
191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1,5,21,"0:05:09,642","0:05:11,603"
192,Yeah?,Ross,neutral,neutral,18,2,5,21,"0:05:11,603","0:05:12,542"
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109"
194,"Uhh,",Ross,neutral,neutral,18,4,5,21,"00:05:19,277","00:05:22,279"
195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990"
196,Uh-oh.,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670"
197,What?,Ross,neutral,neutral,18,7,5,21,"0:05:29,670","0:05:30,222"
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166"
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548"
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969"
201,Hey.,Joey,neutral,neutral,19,0,1,1,"0:10:11,861","0:10:14,990"
202,Hey!,Phoebe,neutral,neutral,19,1,1,1,"0:10:14,990","0:10:15,133"
203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,"00:10:56,155","00:10:59,157"
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368"
205,"Yay!! Oh so, youre not, youre not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164"
206,No!,Joey,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538"
207,No!,Joey,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760"
208,No!,Joey,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303"
209,You guys were totally right!,Joey,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298"
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625"
211,Yknow?,Joey,neutral,neutral,20,8,7,7,"00:11:08,625","00:11:08,834"
212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9,7,7,"00:11:08,834","00:11:11,378"
213,Didnt you sleep together?,Phoebe,neutral,neutral,20,10,7,7,"0:11:11,629","0:11:12,811"
214,"Yeah, that really calms me down.",Joey,neutral,neutral,20,11,7,7,"0:11:12,811","0:11:14,723"
215,And!,Joey,joy,positive,20,12,7,7,"0:11:16,801","0:11:18,595"
216,We have so much in common!,Joey,joy,positive,20,13,7,7,"0:11:18,595","0:11:18,734"
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",Joey,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356"
218,"Oh my God! Listen to you talkin about having kids. Oh my Joey.  Oh, please dont get married before I do.",Rachel,surprise,positive,20,15,7,7,"00:11:27,228","00:11:37,862"
219,Okay.,Joey,neutral,neutral,20,16,7,7,"00:11:41,742","00:11:43,493"
220,How does she do that?,Monica,surprise,negative,21,0,1,4,"00:01:49,275","00:01:51,485"
221,I cannot sleep in a public place.,Ross,neutral,neutral,21,1,1,4,"00:01:51,653","00:01:54,822"
222,Would you look at her? She is so peaceful.,Monica,joy,positive,21,2,1,4,"00:01:54,989","00:02:00,994"
223,Oh! What what what! ...Hi.,Phoebe,surprise,positive,21,3,1,4,"00:02:01,162","00:02:03,622"
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,neutral,21,4,1,4,"00:02:03,790","00:02:05,958"
225,What's going on with you?,Monica,surprise,positive,21,5,1,4,"00:02:06,126","00:02:08,127"
226,I got no sleep last night!,Phoebe,anger,negative,21,6,1,4,"0:02:08,294","0:02:09,587"
227,Why?,Ross,neutral,neutral,21,7,1,4,"0:02:09,587","0:02:09,991"
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,negative,21,8,1,4,"00:02:10,088","00:02:17,177"
229,"Oh, and deaf.",Phoebe,neutral,neutral,21,9,1,4,"00:02:17,345","00:02:18,887"
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,neutral,21,10,1,4,"00:02:20,682","00:02:24,726"
231,You have no idea how loud they are!,Phoebe,disgust,negative,21,11,1,4,"00:02:24,894","00:02:26,937"
232,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,neutral,21,12,1,4,"0:02:29,023","0:02:30,900"
233,Thanks.,Phoebe,joy,positive,21,13,1,4,"0:02:30,900","0:02:32,175"
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0,1,23,"00:09:00,248","00:09:03,667"
235,"It's just her water breaking. Calm down, will you?",Nurse,neutral,neutral,22,1,1,23,"00:09:03,834","00:09:06,169"
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,surprise,negative,22,2,1,23,"00:09:06,337","00:09:09,714"
237,"Breathe, breathe, breathe.",Nurse,neutral,neutral,22,3,1,23,"00:09:09,882","00:09:13,510"
238,"Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.",Monica,surprise,negative,23,0,3,11,"00:10:13,321","00:10:19,909"
239,Okay! You dont think I thought of that?,Chandler,anger,negative,23,1,3,11,"00:10:17,825","00:10:19,909"
240,How can you not know which one?,Phoebe,surprise,negative,23,2,3,11,"0:10:20,870","0:10:22,422"
241,I mean thats unbelievable.,Rachel,joy,positive,23,3,3,11,"0:10:22,422","0:10:23,751"
242,"I mean, was it Gina?",Monica,neutral,neutral,23,4,3,11,"0:10:23,873","0:10:24,873"
243,Which one is Gina?,Ross,neutral,neutral,23,5,3,11,"0:10:24,873","0:10:25,937"
244,"Dark, big hair, with the airplane earrings.",Rachel,neutral,neutral,23,6,3,11,"00:10:26,042","00:10:28,209"
245,"No, no, no, thats Dina.",Monica,neutral,neutral,23,7,3,11,"00:10:28,377","00:10:30,420"
246,"You see you cant tell which one is which either, dwha!!",Chandler,surprise,negative,23,8,3,11,"00:10:30,588","00:10:44,809"
247,"I dont know, you thought See you Saturday was funny.",Rachel,neutral,neutral,24,0,3,14,"00:10:40,389","00:10:44,059"
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,neutral,24,1,3,14,"00:10:44,727","00:10:49,397"
249,You guys would never want to go to a lecture with me.,Rachel,neutral,neutral,24,2,3,14,"00:10:49,565","00:10:51,483"
250,Pa-haa!! I would love to go with you.,Ross,joy,positive,24,3,3,14,"00:10:54,987","00:10:56,571"
251,Really!?,Rachel,surprise,positive,24,4,3,14,"00:10:56,739","00:10:57,864"
252,"Yeah, hey I-I have clothes, I even pick them out.",Ross,neutral,neutral,24,5,3,14,"00:10:58,032","00:11:01,660"
253,"I mean for, for all you know I could be a fashion..... monger.",Ross,neutral,neutral,24,6,3,14,"00:11:01,827","00:11:05,121"
254,"Okay. Honey, I would love for you to go with me.  What?",Rachel,joy,positive,24,7,3,14,"00:11:11,379","00:11:15,256"
