Utterance,Speaker,Emotion,Scene_ID,Utterance_ID,Season,Episode,Start_Time,End_Time
"Oh, that's great.",['Barry Farber'],Joyful,9,3,1,2,00:17:38.599,00:17:41.392
Why are- why are you so tanned?,['Rachel Green'],Scared,9,4,1,2,00:17:42.519,00:17:46.189
"Oh, I, uh- I went to Aruba.",['Barry Farber'],Scared,9,5,1,2,00:17:45.022,00:17:48.649
Oh no. You went on our honeymoon alone?,['Rachel Green'],Mad,9,6,1,2,00:17:46.899,00:17:51.778
"No. I went with, uh.. Now, this may hurt.",['Barry Farber'],Neutral,9,7,1,2,00:17:51.987,00:18:01.412
Me?!,['Robbie'],Neutral,9,8,1,2,00:17:55.407,00:17:58.493
No! I went with Mindy.,['Barry Farber'],Scared,9,9,1,2,00:17:59.953,00:18:01.412
"Mindy?! My maid of honour, Mindy?!",['Rachel Green'],Mad,9,10,1,2,00:18:01.622,00:18:09.462
"Yeah, well, uh, we're kind of a thing now.",['Barry Farber'],Scared,9,11,1,2,00:18:07.836,00:18:14.592
"Oh! Well, um.. You've got plugs!",['Rachel Green'],Mad,9,12,1,2,00:18:10.047,00:18:14.592
Careful! They haven't quite taken yet.,['Barry Farber'],Mad,9,13,1,2,00:18:16.470,00:18:24.018
And you've got lenses! But you hate sticking your finger in your eye!,['Rachel Green'],Mad,9,14,1,2,00:18:21.183,00:18:29.899
"Not for her. Listen, I really wanted to thank you.",['Barry Farber'],Peaceful,9,15,1,2,00:18:30.109,00:18:38.074
Okay..,['Rachel Green'],Mad,9,16,1,2,00:18:32.903,00:18:34.070
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",['Barry Farber'],Neutral,9,17,1,2,00:18:35.697,00:18:45.790
Wow.,['Rachel Green'],Scared,9,18,1,2,00:18:38.742,00:18:40.159
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",['Barry Farber'],Joyful,9,19,1,2,00:18:45.999,00:18:58.261
What?,['Rachel Green'],Scared,9,20,1,2,00:18:48.210,00:18:49.710
Me.,['Robbie'],Sad,9,21,1,2,00:18:49.920,00:18:53.506
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",['Rachel Green'],Sad,9,22,1,2,00:19:02.182,00:19:17.488
"Well, thank you for giving it back.",['Barry Farber'],Sad,9,23,1,2,00:19:15.028,00:19:17.488
Hello?!,['Robbie'],Scared,9,25,1,2,00:19:18.115,00:19:20.533
"Oh, please! What's wrong with Helen?",['Susan Bunch'],Mad,10,1,1,2,00:19:24.037,00:19:31.085
Helen Geller? I don't think so.,['Ross Geller'],Mad,10,2,1,2,00:19:29.042,00:19:31.085
Hello? It's not gonna be Helen Geller.,['Carol Willick'],Powerful,10,3,1,2,00:19:31.295,00:19:37.216
Thank you!,['Ross Geller'],Powerful,10,4,1,2,00:19:33.797,00:19:37.216
"No, I mean it's not Geller.",['Carol Willick'],Powerful,10,5,1,2,00:19:37.426,00:19:40.761
"What, it's gonna be Helen Willick?",['Ross Geller'],Mad,10,6,1,2,00:19:39.011,00:19:40.761
"No, actually, um, we talked about Helen Willick-Bunch.",['Carol Willick'],Neutral,10,7,1,2,00:19:41.597,00:19:48.936
"Well, wait a minute, wha- why is she in the title?",['Ross Geller'],Mad,10,8,1,2,00:19:43.765,00:19:52.773
It's my baby too.,['Susan Bunch'],Powerful,10,9,1,2,00:19:50.147,00:19:52.773
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",['Ross Geller'],Mad,10,10,1,2,00:19:52.983,00:19:57.862
"Yeah, and we all know what a challenge that is!",['Susan Bunch'],Mad,10,11,1,2,00:20:00.574,00:20:05.203
"All right, you two, stop it!",['Carol Willick'],Mad,10,12,1,2,00:20:03.368,00:20:05.203
"No no no, she gets a credit, hey, I'm in there too.",['Ross Geller'],Mad,10,13,1,2,00:20:05.412,00:20:11.918
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,['Carol Willick'],Neutral,10,14,1,2,00:20:07.956,00:20:13.711
"Of course not, I'm... suggesting Geller-Willick-Bunch.",['Ross Geller'],Powerful,10,15,1,2,00:20:13.921,00:20:17.715
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",['Susan Bunch'],Mad,10,16,1,2,00:20:17.925,00:20:25.264
Knock knock!How are we today? Any nausea?,['Dr. Oberman'],Neutral,10,18,1,2,00:20:35.067,00:20:38.069
Yeah. Yeah. A little.,['#ALL#'],Neutral,10,19,1,2,00:20:38.278,00:20:40.154
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",['Dr. Oberman'],Neutral,10,20,1,2,00:20:41.949,00:20:47.870
Oh my God.,['Ross Geller'],Joyful,10,23,1,2,00:20:46.787,00:20:47.870
Look at that.,['Susan Bunch'],Joyful,10,24,1,2,00:20:48.664,00:20:50.289
I know.,['Carol Willick'],Joyful,10,25,1,2,00:20:50.499,00:20:54.502
Well? Isn't that amazing?,['Ross Geller'],Joyful,11,1,1,2,00:20:54.711,00:20:56.754
What are we supposed to be seeing here?,['Joey Tribbiani'],Neutral,11,2,1,2,00:21:08.850,00:21:28.494
"I dunno, but.. I think it's about to attack the Enterprise.",['Chandler Bing'],Joyful,11,3,1,2,00:21:26.785,00:21:34.208
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",['Phoebe Buffay'],Joyful,11,4,1,2,00:21:38.255,00:21:43.634
"Then don't do that, alright?",['Ross Geller'],Mad,11,5,1,2,00:21:41.383,00:21:43.634
Okay!,['Phoebe Buffay'],Neutral,11,6,1,2,00:21:44.761,00:21:47.054
Monica. Whaddya think?,['Ross Geller'],Neutral,11,7,1,2,00:21:49.224,00:21:52.226
Mm-hmm.,['Monica Geller'],Sad,11,8,1,2,00:21:50.684,00:21:52.226
Wh- are you welling up?,['Ross Geller'],Neutral,11,9,1,2,00:21:52.436,00:21:56.522
No.,['Monica Geller'],Neutral,11,10,1,2,00:21:55.063,00:21:56.522
"You are, you're welling up.",['Ross Geller'],Powerful,11,11,1,2,00:21:56.732,00:22:00.443
Am not!,['Monica Geller'],Mad,11,12,1,2,00:21:58.191,00:22:00.443
You're gonna be an aunt.,['Ross Geller'],Joyful,11,13,1,2,00:22:00.652,00:22:03.779
Oh shut up!,['Monica Geller'],Joyful,11,14,1,2,00:22:04.948,00:22:08.701
Hi guys!,['Phoebe Buffay'],Joyful,1,1,1,3,00:00:05.755,00:00:07.423
"Hey, Pheebs! Hi!",['#ALL#'],Joyful,1,2,1,3,00:00:07.632,00:00:08.924
"Hey. Oh, oh, how'd it go?",['Ross Geller'],Joyful,1,3,1,3,00:00:13.388,00:00:16.056
Ohh. Ouch.,['#ALL#'],Sad,1,5,1,3,00:00:16.266,00:00:17.307
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",['Monica Geller'],Neutral,1,7,1,3,00:00:17.517,00:00:22.855
Since when?,['Rachel Green'],Neutral,1,8,1,3,00:00:20.812,00:00:22.855
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",['Joey Tribbiani'],Neutral,1,9,1,3,00:00:24.065,00:00:32.239
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",['Phoebe Buffay'],Mad,1,11,1,3,00:00:40.623,00:00:45.002
And everybody knows this?,['Rachel Green'],Neutral,1,12,1,3,00:00:43.501,00:00:45.002
Yeah. Cushions the blow.,['Joey Tribbiani'],Neutral,1,13,1,3,00:00:46.463,00:00:47.880
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",['Chandler Bing'],Neutral,1,14,1,3,00:00:48.089,00:00:55.429
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",['Ross Geller'],Neutral,1,15,1,3,00:00:55.638,00:01:04.313
"Uh, Ross.",['Monica Geller'],Neutral,1,16,1,3,00:00:58.892,00:01:01.393
"""So how does it feel knowing you're about to die?""",['Chandler Bing'],Neutral,2,1,1,3,00:01:14.157,00:02:18.095
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",['Joey Tribbiani'],Peaceful,2,2,1,3,00:01:18.578,00:02:26.728
"Hey, that was really good!",['Chandler Bing'],Joyful,2,3,1,3,00:02:15.218,00:02:18.095
Thanks! Let's keep going.,['Joey Tribbiani'],Powerful,2,4,1,3,00:02:18.304,00:02:21.640
"Okay. ""So. Whaddya want from me, Damone, huh?""",['Chandler Bing'],Neutral,2,5,1,3,00:02:29.858,00:02:36.238
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",['Joey Tribbiani'],Neutral,2,6,1,3,00:02:31.401,00:02:42.661
"""Smoke away.""",['Chandler Bing'],Neutral,2,7,1,3,00:02:38.783,00:02:42.661
I think this is probably why Damone smokes in his cell alone.,['Chandler Bing'],Neutral,2,9,1,3,00:02:42.871,00:03:01.513
What?,['Joey Tribbiani'],Scared,2,10,1,3,00:02:52.505,00:02:53.964
Relax your hand!,['Chandler Bing'],Powerful,2,11,1,3,00:02:55.633,00:03:01.513
Not so much!,['Chandler Bing'],Powerful,2,13,1,3,00:02:57.886,00:03:01.513
Whoah!,['Joey Tribbiani'],Scared,2,14,1,3,00:03:02.557,00:03:04.391
Hey!,['Chandler Bing'],Powerful,2,15,1,3,00:03:04.601,00:03:06.351
Hey!,['Joey Tribbiani'],Powerful,2,16,1,3,00:03:06.561,00:03:07.603
"Alright, now try taking a puff.",['Chandler Bing'],Neutral,2,17,1,3,00:03:07.812,00:03:12.107
Alright.. okay. No. Give it to me.,['Chandler Bing'],Neutral,2,19,1,3,00:03:12.567,00:03:19.239
"No no no, I am not giving you a cigarette.",['Joey Tribbiani'],Neutral,2,20,1,3,00:03:15.862,00:03:19.239
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",['Chandler Bing'],Powerful,2,21,1,3,00:03:19.449,00:03:22.784
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",['Chandler Bing'],Powerful,2,23,1,3,00:03:23.578,00:03:33.962
Y'miss it?,['Joey Tribbiani'],Neutral,2,24,1,3,00:03:26.831,00:03:30.834
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",['Chandler Bing'],Scared,2,25,1,3,00:03:34.172,00:03:42.346
Hi.. how was the game?,['Monica Geller'],Neutral,6,1,1,3,00:03:36.716,00:03:42.346
Well..,['Ross Geller'],Neutral,6,2,1,3,00:03:40.094,00:03:42.346
WE WON!! Thank you! Yes!,['#ALL#'],Joyful,6,3,1,3,00:03:45.099,00:03:56.693
Fantastic! I have one question: How is that possible?,['Monica Geller'],Joyful,6,4,1,3,00:10:59.742,00:11:07.624
Alan.,['Joey Tribbiani'],Neutral,6,5,1,3,00:11:01.327,00:11:03.870
"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",['Ross Geller'],Joyful,6,6,1,3,00:11:04.705,00:11:18.426
"I mean, it-it was like, it was like he made us into a team.",['Rachel Green'],Sad,6,7,1,3,00:11:14.965,00:11:25.475
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",['Chandler Bing'],Joyful,6,8,1,3,00:11:25.685,00:11:30.522
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,['Monica Geller'],Scared,6,9,1,3,00:11:27.895,00:11:36.111
What?,['Ross Geller'],Neutral,6,10,1,3,00:11:31.857,00:11:33.441
"..I dunno, a little too Alan?",['Monica Geller'],Neutral,6,11,1,3,00:11:33.651,00:11:36.111
"Well, no. That's impossible. You can never be too Alan.",['Rachel Green'],Mad,6,12,1,3,00:11:36.320,00:11:43.910
"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",['Ross Geller'],Joyful,6,13,1,3,00:11:44.120,00:11:51.376
I personally could have a gallon of Alan.,['Chandler Bing'],Joyful,6,14,1,3,00:11:49.166,00:11:51.376
"Hey, Lizzie.",['Phoebe Buffay'],Neutral,7,1,1,3,00:11:57.383,00:12:00.218
"Hey, Weird Girl.",['Lizzy'],Neutral,7,2,1,3,00:12:00.428,00:12:03.138
I brought you alphabet soup.,['Phoebe Buffay'],Neutral,7,3,1,3,00:12:03.347,00:12:06.349
Did you pick out the vowels?,['Lizzy'],Neutral,7,4,1,3,00:12:07.143,00:12:08.768
Saltines?,['Lizzy'],Neutral,7,6,1,3,00:12:08.978,00:12:10.061
"No, but would you like a thousand dollars and a football phone?",['Phoebe Buffay'],Neutral,7,7,1,3,00:12:10.271,00:12:17.318
"What? Oh my God, there's really money in here.",['Lizzy'],Joyful,7,8,1,3,00:12:13.232,00:12:20.196
I know.,['Phoebe Buffay'],Neutral,7,9,1,3,00:12:15.735,00:12:17.318
"Weird Girl, what are you doing?",['Lizzy'],Neutral,7,10,1,3,00:12:20.406,00:12:22.115
"No, I want you to have it. I don't want it.",['Phoebe Buffay'],Neutral,7,11,1,3,00:12:22.324,00:12:24.242
"No, no, I ha-I have to give you something.",['Lizzy'],Neutral,7,12,1,3,00:12:24.952,00:12:29.247
"Oh, that's fine, no.",['Phoebe Buffay'],Neutral,7,13,1,3,00:12:27.621,00:12:29.247
Would you like my tin-foil hat?,['Lizzy'],Joyful,7,14,1,3,00:12:29.457,00:12:31.374
"No. 'Cause you need that. No, it's okay, thanks.",['Phoebe Buffay'],Neutral,7,15,1,3,00:12:31.584,00:12:34.461
"Please, let me do something.",['Lizzy'],Neutral,7,16,1,3,00:12:34.670,00:12:36.796
"Okay, alright, you buy me a soda, and then we're even. Okay?",['Phoebe Buffay'],Neutral,7,17,1,3,00:12:37.423,00:12:41.551
Okay.,['Lizzy'],Neutral,7,18,1,3,00:12:39.049,00:12:41.551
Okay.,['Phoebe Buffay'],Neutral,7,19,1,3,00:12:42.511,00:12:43.803
A thumb?!,['Ross Geller'],Neutral,9,1,1,3,00:13:45.825,00:13:47.283
Eww!,['#ALL#'],Scared,9,3,1,3,00:13:48.035,00:13:49.077
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",['Phoebe Buffay'],Mad,9,4,1,3,00:13:59.338,00:14:10.849
"Well, maybe it's a contest, y'know? Like, collect all five?",['Chandler Bing'],Neutral,9,5,1,3,00:14:07.429,00:14:15.395
"Does, um, anyone wanna see?",['Phoebe Buffay'],Neutral,9,6,1,3,00:14:12.768,00:14:15.395
Nooo!,['#ALL#'],Scared,9,7,1,3,00:14:17.940,00:14:19.148
"Oh, hey, don't do that! Cut it out!",['#ALL#'],Scared,9,9,1,3,00:14:19.358,00:14:24.237
It's worse than the thumb!,['Rachel Green'],Scared,9,10,1,3,00:14:21.777,00:14:24.237
"Hey, this is so unfair!",['Chandler Bing'],Neutral,9,11,1,3,00:14:24.446,00:14:25.947
"Oh, why is it unfair?",['Monica Geller'],Neutral,9,12,1,3,00:14:27.741,00:14:29.534
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",['Chandler Bing'],Scared,9,13,1,3,00:14:29.743,00:14:49.470
...Does the knuckle-cracking bother everybody?,['Joey Tribbiani'],Sad,9,15,1,3,00:14:34.248,00:14:36.958
"Well, I-I could live without it.",['Rachel Green'],Neutral,9,16,1,3,00:15:01.984,00:15:05.528
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",['Joey Tribbiani'],Neutral,9,17,1,3,00:15:03.819,00:15:13.119
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",['Ross Geller'],Joyful,9,19,1,3,00:15:15.956,00:15:19.083
"Oh, ""you do, do you""?",['Joey Tribbiani'],Joyful,9,20,1,3,00:15:19.293,00:15:21.544
"You know, there's nothing wrong with speaking correctly.",['Ross Geller'],Neutral,9,22,1,3,00:15:22.880,00:15:30.845
"""Indeed there isn't""... I should really get back to work.",['Rachel Green'],Neutral,9,23,1,3,00:15:31.055,00:15:37.769
"Yeah, 'cause otherwise someone might get what they actually ordered.",['Phoebe Buffay'],Neutral,9,24,1,3,00:15:36.018,00:15:41.064
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",['Rachel Green'],Mad,9,25,1,3,00:15:37.978,00:15:46.694
Did you ever go out with a guy your friends all really like?,['Monica Geller'],Neutral,10,1,1,3,00:15:42.358,00:16:05.838
No.,['Paula'],Neutral,10,2,1,3,00:15:47.279,00:15:48.863
"Okay.. Well, I'm going out with a guy my friends all really like.",['Monica Geller'],Peaceful,10,3,1,3,00:16:02.252,00:16:05.838
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",['Paula'],Joyful,10,4,1,3,00:16:14.348,00:16:20.395
"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",['Monica Geller'],Scared,10,5,1,3,00:16:16.934,00:16:30.530
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",['Paula'],Powerful,10,6,1,3,00:16:27.945,00:16:40.915
I know.. it's gonna be really hard.,['Monica Geller'],Sad,10,7,1,3,00:16:41.125,00:16:43.042
"Well, he's a big boy, he'll get over it.",['Paula'],Powerful,10,8,1,3,00:16:43.252,00:16:45.128
"No, he'll be fine. It's the other five I'm worried about.",['Monica Geller'],Sad,10,9,1,3,00:16:45.337,00:16:50.008
Do you have any respect for your body?,['Joey Tribbiani'],Neutral,11,1,1,3,00:16:50.801,00:16:52.343
Don't you realise what you're-you're doing to yourself?,['Ross Geller'],Mad,11,2,1,3,00:16:52.553,00:16:54.637
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",['Chandler Bing'],Mad,11,3,1,3,00:16:54.847,00:17:06.816
"Chandler? It's Alan, he wants to speak to you.",['Rachel Green'],Neutral,11,4,1,3,00:17:05.441,00:17:08.776
"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",['Chandler Bing'],Joyful,11,5,1,3,00:17:08.986,00:17:38.723
"God, he's good.",['Rachel Green'],Peaceful,11,6,1,3,00:17:12.239,00:17:14.407
If only he were a woman.,['Ross Geller'],Sad,11,7,1,3,00:17:49.109,00:17:53.404
Yeah.,['Rachel Green'],Neutral,11,8,1,3,00:17:51.987,00:17:53.404
Wow.,['Alan'],Joyful,13,1,1,3,00:17:53.614,00:17:55.406
"I'm, I'm really sorry.",['Monica Geller'],Sad,13,2,1,3,00:18:00.496,00:18:02.121
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",['Alan'],Peaceful,13,3,1,3,00:21:09.726,00:21:24.782
Relieved?,['Monica Geller'],Neutral,13,4,1,3,00:21:16.441,00:21:17.858
"Yeah, well, I had a great time with you.. I just can't stand your friends.",['Alan'],Mad,13,5,1,3,00:21:24.992,00:21:31.831
Remember when we went to Central Park and rented boats?.. That was fun.,['Rachel Green'],Peaceful,14,1,1,3,00:21:30.080,00:21:42.383
Yeah. He could row like a viking.,['Ross Geller'],Powerful,14,2,1,3,00:21:44.428,00:21:50.266
Hi.,['Monica Geller'],Neutral,14,3,1,3,00:21:46.722,00:21:50.266
Mmm.,['#ALL#'],Peaceful,14,4,1,3,00:21:55.105,00:21:57.106
So how'd it go?,['Ross Geller'],Neutral,14,5,1,3,00:21:59.067,00:22:00.943
"Oh, y'know..",['Monica Geller'],Sad,14,6,1,3,00:22:02.029,00:22:04.947
Did he mention us?,['Phoebe Buffay'],Scared,14,7,1,3,00:22:10.370,00:22:12.955
"You had a rough day, huh.. c'mere.",['Ross Geller'],Peaceful,14,9,1,3,00:22:19.629,00:22:20.838
...That's it. I'm getting cigarettes.,['Chandler Bing'],Powerful,14,10,1,3,00:22:21.048,00:22:23.841
No no no!,['#ALL#'],Mad,14,11,1,3,00:22:27.471,00:22:29.764
"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",['Chandler Bing'],Scared,14,12,1,3,00:22:29.973,00:22:34.560
If you never smoke again I'll give you seven thousand dollars!,['Phoebe Buffay'],Powerful,14,13,1,3,00:22:34.770,00:22:40.024
